,reviewText,overall,rating,TextBlobAnalysis,TextBlob_Sentiment,CNN_Sentiment
101096,"I returned this along with the Dewalt router. Nothing wrong with it, it just didn't need it without the Deaalt router.",1.0,0,"[0.0, -0.5]",0,1
101163,"I did not buy this unit, but I did buy and return the similar Honeywell PLS750C1000, these claim to be three way switches, but require four wires.  Just a note if you plan to replace this yourself check your wiring first.",1.0,0,"[0.0, 0.25]",1,0
101187,"I purchased two of these switches and they powered on and configured, but wouldn't actuate lights. I checked voltage, checked neutral, tried on different lights/circuits, ran reset and even extensively troubleshooted with Honeywell technical support with no success. Honeywell suspects they are defective switches. Maybe I got two bad ones, but I am hesitant to try a third; in all, two hours of wasted time and the hassle of returning the defective merchandise.",1.0,0,"[0.0, -0.0375, 0.0, -0.3]",0,0
101222,It is not so easy to install.  It requires that you be very specific about the specifications of the wiring.  Forget about it.  I went with the much clunkier switch that is battery powered and easy to install.SWE Autochron Wireless Wall Switch Timer by SWE Inc.No electricity problem. 7 minute installation.  It was an easier alternative for me.,2.0,0,"[0.43333333333333335, 0.0, 0.0, 0.31666666666666665, 0.0, 0.0]",1,1
101241,"I don't know if it's a bad unit or bad design but with a short power outage (under  hr.)  the clock needs to be reset.  It did remember the other settings as the instructions said it would, but it said it would remember the time for 4 hours, it did not!  Even so I had a 10 year old timer that would keep time for weeks without power, seems like this should do the same.  I'm looking for a different timer that won't require me to keep setting the clock after power outages.After more testing I find it was needing the clock reset even without a power failure.  With no power failure I would fine it with the clock flashing 12:00.  I returned it  and got a replacement must have been a bad unit.  No problem with the replacement so far.",2.0,0,"[-0.46666666666666656, 0.0, -0.125, 0.05, 0.061111111111111095, -0.19999999999999996, 0.1]",0,0
101251,"This thing worked like a charm for the first week. On about the seventh day, it switched ""off"" for sunrise and then went into spasms, ""on"" ""off"" ""on"" ""off"" ""on"" ""off"" .... every second, for several minutes. I was sure the neighbors would think I was in distress or that the place was haunted. Pushed every button, including holding them down. Nothing worked. Suddenly, it just corrected itself after I walked away and right before I got to the breaker box. I thought maybe it was an electrical surge, a fluke, maybe? I was wrong.About a week and a half after that, it did the same thing at sunset and we DID have a neighbor come over to check it out. ugh. Thank goodness I was home or the cops would have been called, I'm sure. Also, thank goodness my husband was home to cut the power and yank this piece of junk out of the wall because it just kept on going ""on"" ""off"" ""on"" ""off""... and was never stopping on its own.I am so burned by this experience that I'm sending it back for a refund and replacing it with just a regular light switch. No thank you to timers that malfunction and leave no recourse but to kill the power and disconnect it from the wiring.IF YOU DON'T HAVE SOMEONE IN YOUR HOUSE AT ALL TIMES WITH ELECTRICAL SKILLS, DON'T BUY THIS!!!!It's not something you can just unplug, yourself. Think about that before you install this. Don't want you to wind up in the same situation.",1.0,0,"[0.25, 0.0, 0.5, -0.15555555555555559, 0.0, 0.14285714285714285, 0.0, -0.2222222222222222, 0.0, 0.5, 0.25, 0.0, 0.0, 0.0, 0.0]",1,0
101375,I like others had high hopes for this thing.  While it will do what it says the adjustments are cheesy and hopelessly difficult to use and set up.  With some better engineering this could be an awesome tool.The foot stance is quite large but the legs are flimsy and awkward to move around.  The height adjustment is clunky.  Basically every adjustment on this thing needs a redo.  Get back in the design room and don't come back out until you have something more deliberate!  I would not recommend the tool to anyone that I like.,2.0,0,"[0.16, -0.5, 0.2785714285714286, 0.0, 0.0, 0.16666666666666666, 0.0]",1,1
101391,"I received this lamp for free from Amazon. I worked in retail for a few years and I would expect this type of product in a Dollar Store - $5 in retail would really be stretching it considering what you get. That is, of course, a far cry from the advertised $23.I was hoping I could find something positives about this lamp - but it really falls short. Here are some points:- it feels and looks extremely cheap- functionally, the led lights are very weak - even when surrounded by darkness- the led lights can not be replaced- the magnifier is nothing but some cheap plastic - mine already seems scratched right out of the box.- no AC adapter option. No batteries provided either.- the lamp I received must have some wiring issues as it turns off when I accidentally touch various areas.Positives? If you have pre-school kids, they might be excited for a night or two.",1.0,0,"[0.4, 0.0, 0.10000000000000002, 0.14955357142857142, 0.0, 0.375]",1,1
101394,"Well, I said this is the worst excuse for a light I've got. Actually its a tie with the all plastic lighted screwdriver with a hand crank that you have to crank to make the lights work.This one has the weirdest design I've ever seen for one, and about the worst made. First the little door or cover that you have to remove to put the batteries in is very difficult to get off. I just about had to break it to get the thing off. Then once I got batteries in it the on/off switch is really flaky. It tends to turn on and off just by handling the light. The worst thing about it is the base. I made the mistake of sticking it in the heavy base to see how it would look when standing on the table. Then when I tried to take it out of the base I found it was almost impossible. I had to find one of my biggest widest flat blade screwdrivers and use it to work down between the back of the base the the light and pry the light out of the base. I almost had to break the thing before I could get that stupid base off. The worst of it is if you cant get the base off you cant change the batteries in it.As for the light itself its the weakest & worst excuse for a ""reading light"" I've ever tried to see with! A candle puts out more light than this does! The ONLY thing that I've found on this that actually works like it is supposed to work is the magnifying glass. In the Spring and Summer kids should be able to have a ball playing with it and using it for the traditional ant burning.I got it thinking it would be handy in my workshop either for doing fine detail work or seeing to dig slivers out of a finger, things like that. But the light isn't even half bright enough for anything like that.I started with giving it only 1 star and would have gave it a 0 or -1. But, since the magnifying glass does work, and is on a flexible thing so you don't have to try to hold it steady with your hands. Making it easier to use it as a emergency fire starter, hot foot helper, and things like that I'll have to give it 2 stars. Or 3 stars for the magnifying glass and minus a star for the flaky light.",1.0,0,"[-0.21666666666666667, -0.5, -0.19583333333333333, 0.0, 0.2, 0.4, -0.9, -0.5, -0.7333333333333334, -0.14007936507936508, -0.8, -0.3416666666666666, 0.45, 0.0, 0.3791666666666667, 0.18333333333333335, 0.25, 0.15000000000000002]",0,1
101395,Dont waste your money on this garbage.  I could not get the clamp to work right and the lighting on this is terrible!  Look elsewhere for a better product!,1.0,0,"[-0.2, -0.35714285714285715, 0.5]",0,0
101396,"I had never previously used a book light, but I thought one would be nice to read in bed on those nights where my spouse or children are in my room and trying to fall asleep.When I opened the package, the first thing I noted was that the light does not come with batteries.  I grabbed 2 AAA batteries and attempted to pop open the battery cover.  I found the battery cover very difficult to open and resorted to depressing the little tab and prying the cover off with a flathead screwdriver.The book light does exactly as advertises.  It does light up a book.  When clipped to a book, the light created roughly a 5 inch by 3 inch oval of light.  There is enough ambient light coming from the beam of light to be able to read most of the page of a large hardcover book quite easily.  Only the very fringes of the page were a bit dark, but still readable.However, with use, I found that I did not particularly care for this book light.  The attached magnifying glass and the design of the clip give the light a large, awkward, clunky feel.  When I clipped the light to a hardcover book, I found it worked fine, but the added weight made it necessary to find a good, stable rest if reading the book for more than a few minutes.  The light was too heavy and awkward to use with a softcover book.While my eyesight with glasses is fine, I opted to give the magnifying glass a try.  I clipped the light to a hard cover book and put the magnifying glass into place.  The field of view with the magnifying glass is small.  I was unable to read an entire line of text without shifting the magnifying glass around.  Also, the magnifying glass is circular shaped with thinner edges, resulting in a fish-eye effect.  When it comes to reading text, I found the magnifying glass pretty useless.  I would much rather opt for my prescription glasses or those cheap over the counter glasses from the drug store.With very limited use, I then began having issues with the light.  When I would lightly bump the clip area or even clip the light to a book, the light would go off.  In order to get it working again, I would have to remove the battery cover and reseat the batteries.  As I mentioned before, the battery cover is tough to get off and as I do not feel like searching for a screwdriver every time this happens, my thumbnail is getting all chewed up from opening the cover.So what is this light good for?  If you use the attached base and are reading at a desk or a similar stationary area, the light is not bad at all.  Also, if you are doing precision work at a stationary location where a magnifying glass would be useful, then this would be a nice set.  However, I feel in each of these scenarios, there are better products than this light.This is one of the few times where I have to say that I feel a product I was lucky enough to review is destined for the trash.  My light does not work reliably and it is too heavy and awkward to clip to a book in my opinion.  I would have given the product a second star for its limited application of close up work, but the reliability of this product is an issue for me.  I would have to recommend passing on this product.",1.0,0,"[0.3466666666666667, 0.0, -0.13125, 0.4, 0.23333333333333336, 0.34965986394557824, 0.07333333333333333, 0.004761904761904782, 0.30277777777777776, 0.00416666666666668, 0.05416666666666667, -0.25, -0.25, 0.0, -0.125, 0.2267857142857143, 0.4000000000000001, 0.0, 0.23703703703703702, -0.012500000000000025, 0.44999999999999996, 0.20666666666666664, -0.13333333333333333, -0.03571428571428571, 0.0]",1,0
101397,"This ""book light"" is so riddled with flaws that I don't even know where to begin.First off, this thing is way too heavy to be a book light.  This light is not the type of light you'd be able to sit up in bed reading with...you'd most certainly have to be sitting at a desk with the lamp sitting on it's base to use effectively.  With the monster clip on this thing, I'm presuming that the clip is designed to clip something massive...say like a encyclopedia.  Paperback books would most certainly bend over because of the sheer weight of the thing.Secondly, the light is a joke.  When these LEDs burn out, it's game over.  While they are working, they illuminate such a small portion of the page that there's really no point in using this thing.  I thought that maybe I could use this lamp in an airplane, but it's more practical to use the overhead light and a small magnifying glass to read with.Which brings me to the magnifying glass - also not very good.  Go run over to Office Depot and treat yourself to a good quality, high magnification glass.  This particular magnifier is not very good.Would I buy this?  No.  Would I recommend this?  No.  Did my preschoolers love playing with this thing - yes.  Overall, makes a good toy for kids, but not for its actual intended purpose.  Not recommended.",1.0,0,"[0.21250000000000002, 0.2591836734693877, 0.0, 0.22285714285714286, -0.4, -0.11666666666666665, 0.09519230769230771, 0.43, -0.05128205128205125, 0.0, 0.0, 0.0, 0.5, 0.2333333333333333, 0.0]",1,0
101399,"I like to read in bed, even after my wife's gone to sleep. That means either I leave the light on, which she doesn't like very much, or I use some kind of bedside or book light. This appears aimed to serve either purpose, but doesn't work very well at either. It clips into a stand to work as a desk lamp, but there's not a lot of flexibility or length on either the lamp or the magnifier to make them very useful for that purpose. I have a small table at the side of my bed, where I'd like to place this but from that vantage I can't really get this angled or oriented correctly to illuminate what I'm reading unless I contort myself into a position I don't much like to read in. The alternative is to pull it out of the stand and clip it on to the back of a book, but this is too heavy and bulky for paperbacks and doesn't even work all that well with hardbacks. It needs a thinner, lighter, clip to work well for that. Sadly, that means this just doesn't do the trick for me. My daughter sometimes uses it to read in bed, putting it underneath the covers to hide the light from her sister who's in the same room. Under the blanket, I guess, it works okay - but I wouldn't use it that way, and don't think most people would.",2.0,0,"[0.0, 0.41500000000000004, 0.2, 0.39, -0.15, -0.1, 0.0, -0.5, 0.2, 0.5]",1,1
101445,"Update Oct. 19, 2012: Picked up the flashlight today after not having used it in months, it having just sat on our counter under normal house lighting conditions. Turned it on and... it barely lights up anything. Very disappointed. I'm sticking it in the window today to see if the sun revives it, but this isn't how this flashlight is supposed to work. I'm revising my previous 4-star review down to 2 stars because this flashlight has now become almost as useless as a battery-powered flashlight if I have to maintain it like this.(Original review: Feb. 22, 2012): Hey! It's a flashlight! At it's most basic, that's really all you need to know. It lights up and it's actually surprisingly bright (but in a somewhat small pattern that you might expect given the size of the head.)  The unusual thing about it is, obviously, that it's solar powered.  Install the portable-phone style battery into the backside of the flashlight and stick it in a window, black-side out, for a day, and you'll have a fully charged flashlight.  Handy for those times when you need a flashlight that just works - you know how it goes, the power goes out and you grab for a flashlight only to find that the batteries are dead.  That shouldn't be the case with this one, claiming to hold a charge for a full year (obviously I haven't been able to test that yet) and working for up to 4 hours at a time.  Other little pluses are that it's extremely light (due to not being burdened with all those large batteries) and has a could-be handy carabiner clip built in to the end to hang on various things - belt hooks, etc.  There really aren't any downsides that I can find so far other than that if you need an extremely bright, wide-patterned light, this isn't it.  This is a good light for simple light-duty use around the house or in a car.",2.0,0,"[0.15, 0.05, -0.9750000000000001, 0.0, -0.2740740740740741, 0.375, 0.0, 0.2333333333333333, 0.22500000000000003, 0.1, -0.16666666666666666, 0.13333333333333333, 0.2833333333333333, 0.11096938775510204, 0.1958333333333334, 0.375]",1,1
101473,"I was excited to get this, it seemed better than many of the other units on the market and I do like the hooks and magnets.The big disappointment is the battery life.  From a full charge, it becomes nearly useless within an hour.Maybe I got a dud but the cheap $20 units I picked up at Sears are proving far better in terms of producing light.",2.0,0,"[0.10833333333333334, 0.20833333333333334]",1,1
101493,"I should have paid more attention to the specifications as opposed to looking at the picture.  It does say they are only 4 inches tall and made of plastic.  VERY SMALL indeed and cheaply made.  As well, they have limited light projection and DO NOT give off the light as depicted in the picture.  I would return if I could; but, it was my bad for not watching closer in what I ordered.  I would not recommend these to anybody.",1.0,0,"[0.5, 0.0, 0.037500000000000006, 0.24285714285714288, -0.6999999999999998, 0.0]",1,0
101494,I purchased 8 of these and half of them did not work. Very cheaply made. The ones that did work were very dim. I would not buy these again!,1.0,0,"[-0.16666666666666666, 0.52, 0.13, 0.0]",1,0
101515,"I bought these bulbs to replace 40W incandescent bulbs in a ceiling fan. I knew they were rated &#34;daylight&#34; and I was OK with that figuring it would give a better light in my gloomy, dark wood paneled room. The quality of the light these put out is strident. It hurts my eyes. I think that the spectra they put out is missing many colors - it makes some colors in the room pop and others disappear. I took these bulbs out and replaced them with the old 40W incandescents. Rather than return them, I plan to use them in the laundry room and garage where illumination is my only goal. Caveat Emptor.",2.0,0,"[0.0, 0.3125, 0.4, 0.0, 0.15, 0.1, 0.0, 0.0]",1,1
101517,The bulb that I received did not work.  I tried it in multiple lighting fixtures.  I ended up returning it.,1.0,0,"[0.0, 0.0, 0.0]",1,0
101518,"The bulb had great color and a good price.  However, it only lasted 18 months.  What happenex to 10 years?",1.0,0,"[0.75, 0.0, 0.0]",1,1
101532,"UPDATE 9/11/12The first bulb I bought which I installed in my central hallway has burned out after a little more than 2 months of use.  It was installed on July 4th and burned out on September 11th.  My hall light is on most of the time (it is really only out when no-one is at home).  I would estimate the bulb lasted 600-800 hours....very disappointing.----- earlier reviewNot much to say about this product.  It does appear to be the same brightness as a 50W bulb as advertised.  I placed this one in my central hallway which is lit almost all the time I'm home (I previously had a CFL in that location).  In 10 years I think this fixture has had two CFL's replaced since it's on about 14 hours a day (it's off when I leave for work).  The light is a slightly yellow warm white.The nice thing about this bulb is that it is almost exactly the same form factor as regular lightbulb, so it should be able to fit in any normal fixture.  This was a problem in one of my bathrooms with a very tiny fixture. I think a good pricepoint for this type of light would be about $5-$7.  The current $10 (at the time I'm writing this) is a little bit high, but would be fine if you need it for a fixture that is lit most of the day.It would have a cost savings even against a CFL, and certainly against a regular bulb.  If you are replacing a conventional incandescent bulb, this bulb should have a pay-back time of only about 1400 hours if your local electrical cost is $0.12/kW-hr.  If you replacing a CFL this would have a much longer payback time (several years), since a CFL is already very efficient.  If you factor in the cost of the CFL, and that these last much longer than a fluorescent bulb, the payback gets much better, again on the order of 1000-2000 hours (depending on the life-span and cost of the CFL you are replacing).You should be aware that while these bulb have an extremely long life span (great for those really hard to reach fixtures), they do very gradually get dimmer over the years.",1.0,0,"[0.140625, 0.0, 0.3, -0.19333333333333336, 0.0, -0.08333333333333333, 0.0, 0.2636363636363636, 0.0, 0.55, 0.1576360544217687, -0.03571428571428571, 0.13333333333333333, 0.20104166666666665]",1,1
101533,I honestly do not know if this bulb worked because it had already been opened and repacked when I received it. Protective plastic sheath was crammed in the bottom of the box (thanks previous customer).Item was immediately returned because I refuse to pay full price for something someone fiddled with,2.0,0,"[-0.3, 0.12777777777777777]",0,0
101534,"These bulbs really look cool -- like something from the 22nd century.  They just do not work.I purchased a Utilitech 4' T8 shop light just for use with these bulbs.  Upon start, one of the bulbs flickered for less than a second then went out.  The other bulb never started.The directions are not clear on whether or not ballasts and capacitors are required.  The shop light's bulbs do not required either.",1.0,0,"[0.275, 0.4, -0.08333333333333333, -0.08750000000000001, 0.4]",1,0
101547,"I ordered Ralmondi from two different vendors (one being Amazon) but both sent me the one by Russo Trading Company and made in Korea.  Called Ralmondi if the blade by RTC is of the same quality as Ralmondi, they said no and the RTC blade is far inferior than Ralmondi.  I used one of them to cut Onyx which is a very soft material, it chipped the edges which did not go away by rubbing as they were deep.",2.0,0,"[0.0, 0.05, 0.065]",1,0
101577,"I bought this product hoping for a low cost high lumen gun light. When I first took it out of the package and put the battery in it, it didn't work. I found that I had to unscrew the battery cover slightly to get it to work. Then sometimes if I shook it, the light would go out. The other big problem is the thing is not machined properly and was way too tight to slide onto my picattiny rail on my beretta M9A1. So the light was unreliable, and I literally couldn't put it on my gun.",1.0,0,"[0.18666666666666668, 0.25, -0.16666666666666666, 0.4, -0.07589285714285715, 0.4]",1,0
101580,"I am stunned by the level on quality in this product. for 30 dollars this feels like a 300 dollar flashlight. the quick attach is better than any other quick attach on a flashlight i have ever used with picitinnay rails. this like has the only 2 modes i like on a flashlight, full brightness and strobe. and at 190 lumens, it does both just fine. this is what i leave on my pistol on my nightstand for strange noises in the night. after shooting with this light on i have only one thing to comment, that the quick attach bar that locks into the rails must be made of a cheaper plastic material rather than steel or aluminum because after one clip it slightly warped and it doesn't go on and off as smoothly anymore. still for 30 dollars i would buy 10 more of these for every weapon i have. the perfect choice for the nightstand gun in my opinion, not for heavy field use. after several months of use, still no dimming, i suppose the battery it comes with isn't colossal trash as most 'comes with product' batteries are. im starting to fall in love with nebo products as they all work very well and for a fraction of the cost of professional level lights.Edit: After 6 months of use, this thing broke. it was amazing for the price while it lasted but the strobe switch malfunctioned and will not work properly.",1.0,0,"[0.0, 0.0, 0.26041666666666663, 0.175, 0.4166666666666667, -0.05, 0.19333333333333336, 0.5, 0.4, 0.11666666666666665, 0.19999999999999998, 0.30000000000000004]",1,1
101594,"Understanding that this light is relatively inexpensive, I guess I should go easy on it.  However, I've had it for two months and it has failed to turn on twice with almost new batteries installed.  I have to take the batteries out and put them back in to get the light to turn on.  This may not be a big deal for many people, but when I click the go button, I expect it to go.  I am also spoiled to the momentary on feature on my Streamlight Strion (my favorite light) and the Nebo Redline does not have this feature.The red ring gives off a red glow that is kind of annoying.  Lastly, I have yet to find any beneficial use for the magnetic base.  Contrary to the advertising photos, the magnet is not strong enough to securely hold the light horizontally on a metal door (or any other metal surface).My advice is to throw in about fifteen more bucks and get a streamlight or fenix.  They're well worth the extra cash.",2.0,0,"[0.2777777777777778, -0.18181818181818182, 0.2, 0.25, 0.11666666666666665, -0.4, 0.15972222222222224, 0.15]",1,1
101606,"The Nebos are flashlights that you frequently find by counters in hardware stores. They're not worth the price and the red ring distracts from the tactical nature advertised in the print. Brilliance is enhanced by magnification of the LED, which also cuts down on light. As noted in other reviews, the workmanship on this light is pretty bad. Bottom Line: Stick to the Olight M20, the Fenix PD30 and other decent lights. Surefire lights are overpriced in my opinion, but if you're looking for a light for your bugout bag, get an Olight M20. If you want an everyday carry, go with the Fenix PD30 (I have more of these lights than anyone I know, and they're great). The Olight is one I recently tried and the M20 for $80 is my pick.Avoid lights that are not name brand. If you can get the Nebo for ten bucks, well, go for it; but don't spend much more. Besides, it sounds like a cracker.",2.0,0,"[0.1, -0.075, 0.12222222222222222, -0.043749999999999956, 0.02083333333333333, 0.4, 0.3666666666666667, 0.0, 0.25, 0.0]",1,0
101614,"the light was bright enough, but doesnt look like 220 lumens. after using it for 2 weeks, the lens snapped off at the red adaptor. too bad for me",1.0,0,"[0.3666666666666667, 0.0, -0.6999999999999998]",0,0
101617,"What a disappointment..it is tiny, has sharp edges, and with the on/off button on the end of the unit it takes 2 hands to operate it. It is also a pain to cycle through the various lighting modes. You can buy the Black and Decker clip light for half the price that is just as bright and is a lot more flexible to various conditions.",1.0,0,"[-0.24166666666666667, 0.0, 0.21111111111111114]",0,1
101619,"I'm not sure why this little flashlight gets such great reviews. I'm a flashlight fanatic and really like to find inexpensive but reliable products. This wasn't one of them. I bought a couple of these about a year ago. Neither of them work anymore. It seems sturdy being metal but it's not. One of them I dropped on carpet and it stopped working. The other one has never been dropped and it works great sometimes and won't even turn on at other times, very strange. You'd be way better off buying a Dorcy High Beam LED Flashlight 45 Lumens 41-4286. That's one of my favorite small flashlights and the lumens seem every bit as bright as the Nebo.",1.0,0,"[0.09062500000000001, -0.04999999999999999, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12125000000000001, 0.32200000000000006]",1,1
